,unnamed: 0,order,element,notes,base_value,late,goe_total,aggregate_score,judge,score,event,name,country,attempt_id
106,934,4,3A,,8.8,True,0.8,9.6,8,2,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
107,941,4,3A,,8.8,True,0.8,9.6,9,1,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
108,1009,2,3A,,8.0,False,-2.4,5.6,1,-2,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
109,1016,2,3A,,8.0,False,-2.4,5.6,2,-4,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
110,1023,2,3A,,8.0,False,-2.4,5.6,3,-2,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
111,1030,2,3A,,8.0,False,-2.4,5.6,4,-2,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
112,1037,2,3A,,8.0,False,-2.4,5.6,5,-3,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
113,1044,2,3A,,8.0,False,-2.4,5.6,6,-3,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
114,1051,2,3A,,8.0,False,-2.4,5.6,7,-3,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
115,1058,2,3A,,8.0,False,-2.4,5.6,8,-4,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
116,1065,2,3A,,8.0,False,-2.4,5.6,9,-4,2020 European Championships Mens Short Program,Vladimir Litvintsev,AZE,12
117,1197,1,3A,,8.0,False,-0.23,7.77,1,0,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
118,1204,1,3A,,8.0,False,-0.23,7.77,2,1,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
119,1211,1,3A,,8.0,False,-0.23,7.77,3,-1,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
120,1218,1,3A,,8.0,False,-0.23,7.77,4,0,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
121,1225,1,3A,,8.0,False,-0.23,7.77,5,0,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
122,1232,1,3A,,8.0,False,-0.23,7.77,6,0,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
123,1239,1,3A,,8.0,False,-0.23,7.77,7,-1,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
124,1246,1,3A,,8.0,False,-0.23,7.77,8,-1,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
125,1253,1,3A,,8.0,False,-0.23,7.77,9,0,2020 European Championships Mens Short Program,Slavik Hayrapetyan,ARM,13
126,1323,1,3A,,8.0,False,-0.91,7.09,1,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
127,1330,1,3A,,8.0,False,-0.91,7.09,2,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
128,1337,1,3A,,8.0,False,-0.91,7.09,3,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
129,1344,1,3A,,8.0,False,-0.91,7.09,4,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
130,1351,1,3A,,8.0,False,-0.91,7.09,5,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
131,1358,1,3A,,8.0,False,-0.91,7.09,6,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
132,1365,1,3A,,8.0,False,-0.91,7.09,7,-1,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
133,1372,1,3A,,8.0,False,-0.91,7.09,8,-2,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
134,1379,1,3A,,8.0,False,-0.91,7.09,9,-2,2020 European Championships Mens Short Program,Lukas Britschgi,SUI,14
135,1386,1,3A,,8.0,False,1.14,9.14,1,1,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
136,1393,1,3A,,8.0,False,1.14,9.14,2,2,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
137,1400,1,3A,,8.0,False,1.14,9.14,3,1,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
138,1407,1,3A,,8.0,False,1.14,9.14,4,1,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
139,1414,1,3A,,8.0,False,1.14,9.14,5,1,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
140,1421,1,3A,,8.0,False,1.14,9.14,6,2,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
141,1428,1,3A,,8.0,False,1.14,9.14,7,2,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
142,1435,1,3A,,8.0,False,1.14,9.14,8,2,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
143,1442,1,3A,,8.0,False,1.14,9.14,9,1,2020 European Championships Mens Short Program,Burak Demirboga,TUR,15
144,1638,1,3A,,8.0,False,-1.26,6.74,1,-1,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
145,1645,1,3A,,8.0,False,-1.26,6.74,2,-2,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
146,1652,1,3A,,8.0,False,-1.26,6.74,3,-1,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
147,1659,1,3A,,8.0,False,-1.26,6.74,4,-2,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
148,1666,1,3A,,8.0,False,-1.26,6.74,5,-1,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
149,1673,1,3A,,8.0,False,-1.26,6.74,6,-2,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
150,1680,1,3A,,8.0,False,-1.26,6.74,7,-3,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
151,1687,1,3A,,8.0,False,-1.26,6.74,8,-2,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
152,1694,1,3A,,8.0,False,-1.26,6.74,9,-1,2020 European Championships Mens Short Program,Peter James Hallam,GBR,16
153,1701,1,3A,,8.0,False,-1.83,6.17,1,-1,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
154,1708,1,3A,,8.0,False,-1.83,6.17,2,-2,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
155,1715,1,3A,,8.0,False,-1.83,6.17,3,-3,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
156,1722,1,3A,,8.0,False,-1.83,6.17,4,-2,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
157,1729,1,3A,,8.0,False,-1.83,6.17,5,-1,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
158,1736,1,3A,,8.0,False,-1.83,6.17,6,-3,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
159,1743,1,3A,,8.0,False,-1.83,6.17,7,-3,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
160,1750,1,3A,,8.0,False,-1.83,6.17,8,-2,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
